query_id,query,positive_docs
156,Is it phosphorus deficiency or another deficiency in my sorghum?,441 442 400 397 398 399
157,How do I know if my sorghum has phosphorus deficiency?,442 441 400 397 398 399
158,What does phosphorus deficiency look like in sorghum?,442 441 400 397 398 399
159,How can I prevent phosphorus deficiency in sorghum?,444 446 400 397 398 399
160,How do I stop phosphorus deficiency before it hits my sorghum?,444 446 400 397 398 399
161,What causes phosphorus deficiency in tomato?,447 400 397 398 399
162,Why does my tomato get phosphorus deficiency?,447 400 397 398 399
163,How do I fix phosphorus deficiency in tomato?,450 452 454 400 397 398 399
164,What fertiliser corrects phosphorus deficiency in tomato?,450 452 454 400 397 398 399
165,How can I tell phosphorus deficiency in tomato apart from other problems?,448 449 400 397 398 399
166,Is it phosphorus deficiency or another deficiency in my tomato?,448 449 400 397 398 399
167,How do I know if my tomato has phosphorus deficiency?,449 448 400 397 398 399
168,What does phosphorus deficiency look like in tomato?,449 448 400 397 398 399
169,How can I prevent phosphorus deficiency in tomato?,451 453 455 400 397 398 399
170,How do I stop phosphorus deficiency before it hits my tomato?,451 453 455 400 397 398 399
171,What causes potassium deficiency in cassava?,456 465 466 467 468
172,Why does my cassava get potassium deficiency?,456 465 466 467 468
173,How do I fix potassium deficiency in cassava?,459 461 463 465 466 467 468
174,What fertiliser corrects potassium deficiency in cassava?,459 461 463 465 466 467 468
175,How can I tell potassium deficiency in cassava apart from other problems?,457 458 465 466 467 468
176,Is it potassium deficiency or another deficiency in my cassava?,457 458 465 466 467 468
177,How do I know if my cassava has potassium deficiency?,458 457 465 466 467 468
178,What does potassium deficiency look like in cassava?,458 457 465 466 467 468
179,How can I prevent potassium deficiency in cassava?,464 460 462 465 466 467 468
180,How do I stop potassium deficiency before it hits my cassava?,464 460 462 465 466 467 468
181,What causes potassium deficiency in cocoa?,465 456 457 458 459
182,Why does my cocoa get potassium deficiency?,465 456 457 458 459
183,How do I fix potassium deficiency in cocoa?,468 456 457 458 459
184,What fertiliser corrects potassium deficiency in cocoa?,468 456 457 458 459
185,How can I tell potassium deficiency in cocoa apart from other problems?,466 467 456 457 458 459
186,Is it potassium deficiency or another deficiency in my cocoa?,466 467 456 457 458 459
187,How do I know if my cocoa has potassium deficiency?,467 466 456 457 458 459
188,What does potassium deficiency look like in cocoa?,467 466 456 457 458 459
189,How can I prevent potassium deficiency in cocoa?,469 456 457 458 459
190,How do I stop potassium deficiency before it hits my cocoa?,469 456 457 458 459
191,What causes potassium deficiency in plantain?,479 456 457 458 459
192,Why does my plantain get potassium deficiency?,479 456 457 458 459
193,How do I fix potassium deficiency in plantain?,482 484 456 457 458 459
194,What fertiliser corrects potassium deficiency in plantain?,482 484 456 457 458 459
195,How can I tell potassium deficiency in plantain apart from other problems?,480 481 456 457 458 459
196,Is it potassium deficiency or another deficiency in my plantain?,480 481 456 457 458 459
197,How do I know if my plantain has potassium deficiency?,481 480 456 457 458 459
198,What does potassium deficiency look like in plantain?,481 480 456 457 458 459
199,How can I prevent potassium deficiency in plantain?,483 485 456 457 458 459
200,How do I stop potassium deficiency before it hits my plantain?,483 485 456 457 458 459
201,What causes sulphur deficiency in common bean?,502 512 509 510 511
202,Why does my common bean get sulphur deficiency?,502 512 509 510 511
203,How do I fix sulphur deficiency in common bean?,505 507 512 509 510 511
204,What fertiliser corrects sulphur deficiency in common bean?,505 507 512 509 510 511
205,How can I tell sulphur deficiency in common bean apart from other problems?,503 504 512 509 510 511
206,Is it sulphur deficiency or another deficiency in my common bean?,503 504 512 509 510 511
207,How do I know if my common bean has sulphur deficiency?,504 503 512 509 510 511
208,What does sulphur deficiency look like in common bean?,504 503 512 509 510 511
209,How can I prevent sulphur deficiency in common bean?,506 508 512 509 510 511
210,How do I stop sulphur deficiency before it hits my common bean?,506 508 512 509 510 511
211,What causes sulphur deficiency in maize?,527 504 505 502 503
212,Why does my maize get sulphur deficiency?,527 504 505 502 503
213,How do I fix sulphur deficiency in maize?,530 532 534 504 505 502 503
214,What fertiliser corrects sulphur deficiency in maize?,530 532 534 504 505 502 503
215,How can I tell sulphur deficiency in maize apart from other problems?,528 529 504 505 502 503
216,Is it sulphur deficiency or another deficiency in my maize?,528 529 504 505 502 503
217,How do I know if my maize has sulphur deficiency?,529 528 504 505 502 503
218,What does sulphur deficiency look like in maize?,529 528 504 505 502 503
219,How can I prevent sulphur deficiency in maize?,531 533 535 504 505 502 503
220,How do I stop sulphur deficiency before it hits my maize?,531 533 535 504 505 502 503
221,What causes zinc deficiency in maize?,543 536 537 538 539
222,Why does my maize get zinc deficiency?,543 536 537 538 539
223,How do I fix zinc deficiency in maize?,546 548 550 536 537 538 539
224,What fertiliser corrects zinc deficiency in maize?,546 548 550 536 537 538 539
225,How can I tell zinc deficiency in maize apart from other problems?,544 545 536 537 538 539
226,Is it zinc deficiency or another deficiency in my maize?,544 545 536 537 538 539
227,How do I know if my maize has zinc deficiency?,545 544 536 537 538 539
228,What does zinc deficiency look like in maize?,545 544 536 537 538 539
229,How can I prevent zinc deficiency in maize?,547 549 551 536 537 538 539
230,How do I stop zinc deficiency before it hits my maize?,547 549 551 536 537 538 539
231,What causes zinc deficiency in tomato?,561 536 537 538 539
232,Why does my tomato get zinc deficiency?,561 536 537 538 539
233,How do I fix zinc deficiency in tomato?,568 564 566 536 537 538 539
234,What fertiliser corrects zinc deficiency in tomato?,568 564 566 536 537 538 539
235,How can I tell zinc deficiency in tomato apart from other problems?,562 563 536 537 538 539
236,Is it zinc deficiency or another deficiency in my tomato?,562 563 536 537 538 539
237,How do I know if my tomato has zinc deficiency?,563 562 536 537 538 539
238,What does zinc deficiency look like in tomato?,563 562 536 537 538 539
239,How can I prevent zinc deficiency in tomato?,569 565 567 536 537 538 539
240,How do I stop zinc deficiency before it hits my tomato?,569 565 567 536 537 538 539
241,How do I control bean aphid on common bean?,573 575 576 574
242,What is the best way to deal with bean aphid on common bean?,573 575 576 574
243,What damage does bean aphid do to common bean?,571
244,How much yield can bean aphid cost me on common bean?,571
245,How do I know if my common bean has bean aphid?,572
246,What does bean aphid look like in common bean?,572
247,How can I prevent bean aphid in common bean?,576 574 573 575
248,How do I stop bean aphid before it hits my common bean?,576 574 573 575
249,How do I control legume pod borer on cowpea?,608 604 606 609 605 607
250,What is the best way to deal with legume pod borer on cowpea?,608 604 606 609 605 607
251,What damage does legume pod borer do to cowpea?,602
252,How much yield can legume pod borer cost me on cowpea?,602
253,How do I know if my cowpea has legume pod borer?,603
254,What does legume pod borer look like in cowpea?,603
255,How can I prevent legume pod borer in cowpea?,609 605 607 608 604 606
256,How do I stop legume pod borer before it hits my cowpea?,609 605 607 608 604 606
257,How do I control maize stem borer on maize?,616 612 614 613 615 617
258,What is the best way to deal with maize stem borer on maize?,616 612 614 613 615 617
259,What damage does maize stem borer do to maize?,610
260,How much yield can maize stem borer cost me on maize?,610
261,How do I know if my maize has maize stem borer?,611
262,What does maize stem borer look like in maize?,611
263,How can I prevent maize stem borer in maize?,617 613 615 612 614 616
264,How do I stop maize stem borer before it hits my maize?,617 613 615 612 614 616
265,How do I control rice stem borer on rice?,624 620 622 621 623 625
266,What is the best way to deal with rice stem borer on rice?,624 620 622 621 623 625
267,What damage does rice stem borer do to rice?,618
268,How much yield can rice stem borer cost me on rice?,618
269,How do I know if my rice has rice stem borer?,619
270,What does rice stem borer look like in rice?,619
271,How can I prevent rice stem borer in rice?,625 621 623 620 622 624
272,How do I stop rice stem borer before it hits my rice?,625 621 623 620 622 624
273,How do I control sorghum shoot fly on sorghum?,628 630 629 631
274,What is the best way to deal with sorghum shoot fly on sorghum?,628 630 629 631
275,What damage does sorghum shoot fly do to sorghum?,626
276,How much yield can sorghum shoot fly cost me on sorghum?,626
277,How do I know if my sorghum has sorghum shoot fly?,627
278,What does sorghum shoot fly look like in sorghum?,627
279,How can I prevent sorghum shoot fly in sorghum?,629 631 628 630
280,How do I stop sorghum shoot fly before it hits my sorghum?,629 631 628 630
281,What damage does weevil severity do to plantain?,643
282,How much yield can weevil severity cost me on plantain?,643
283,How do I control cowpea insect pests on cowpea?,645
284,What is the best way to deal with cowpea insect pests on cowpea?,645
285,How do I control invasive insect pests and bacterial wilt on tomato?,654
286,What is the best way to deal with invasive insect pests and bacterial wilt on tomato?,654
287,How do I check for low soil organic matter in my soil?,656 657
288,How can I tell if my field has low soil organic matter?,656 657
289,How do I manage low soil organic matter on my farm?,658 659 660
290,What can I do about low soil organic matter in my field?,658 659 660
291,What problem does low soil organic matter cause on the farm?,657 656
292,Why is low soil organic matter bad for my crops?,657 656
293,How do I check for soil acidity in my soil?,661 662
294,How can I tell if my field has soil acidity?,661 662
295,How do I manage soil acidity on my farm?,664 665 663
296,What can I do about soil acidity in my field?,664 665 663
297,What problem does soil acidity cause on the farm?,662 661
298,Why is soil acidity bad for my crops?,662 661
299,How do I check for soil erosion in my soil?,671 672
300,How can I tell if my field has soil erosion?,671 672
301,How do I manage soil erosion on my farm?,673 674 675
302,What can I do about soil erosion in my field?,673 674 675
303,What problem does soil erosion cause on the farm?,672 671
304,Why is soil erosion bad for my crops?,672 671
305,How do I manage nutrient deficiency in maize?,686
306,What should I do about an outbreak of nutrient deficiency in maize?,686
307,How do I manage soil acidification in maize?,687
308,What should I do about an outbreak of soil acidification in maize?,687
