document_id,title,text,source,crop,country,origin,source_url,license
17,Adapting to shifting seasons (Guinea savanna),"Adapting to shifting seasons in the Guinea savanna, with one long rainy season and moderately fertile soils. Use seasonal forecasts and short-duration varieties, stagger planting dates, diversify crops, and keep flexible contingency seed. In the Guinea savanna, time operations to the single rains, top-dress at the onset of steady rainfall, and use the long season for a full-duration variety.",ICRISAT,(general),Tanzania,synthetic,,synthetic (CC0)
18,Adapting to shifting seasons (Highlands),"Adapting to shifting seasons in the cool highlands, where heavy dew and mild temperatures favour foliar fungal diseases. Use seasonal forecasts and short-duration varieties, stagger planting dates, diversify crops, and keep flexible contingency seed. In the highlands, the long dewy nights drive foliar disease, so prioritise resistant varieties, wider spacing for airflow, and early scouting.",Plantwise,(general),Ghana,synthetic,,synthetic (CC0)
19,Adapting to shifting seasons (Humid forest),"Adapting to shifting seasons in the humid forest zone, where heavy rainfall leaches and acidifies soils and fungal pressure is high. Use seasonal forecasts and short-duration varieties, stagger planting dates, diversify crops, and keep flexible contingency seed. In the humid forest, correct soil acidity with lime, watch for rapid fungal spread under the canopy, and improve drainage on the heavy leached soils.",National Extension Service,(general),Kenya,synthetic,,synthetic (CC0)
20,Adapting to shifting seasons (Sahel),"Adapting to shifting seasons in the hot semi-arid Sahel, where rains are short and erratic and sandy soils leach nutrients quickly. Use seasonal forecasts and short-duration varieties, stagger planting dates, diversify crops, and keep flexible contingency seed. Because sandy Sahelian soils leach fast, split applications finely, micro-dose into the planting hole, and conserve every drop of moisture with mulch and tied ridges.",National Extension Service,(general),Kenya,synthetic,,synthetic (CC0)
21,Adapting Sorghum to Climate Change,"Sorghum is a climate-resilient crop cultivated as a staple food in semi-arid regions of Africa and Asia, crucial for food and nutrition security. However, climate change is increasingly impacting sorghum, particularly at the flowering stage when water availability is vital for grain filling, leading to reduced yields. Developing climate-resilient, biotic and abiotic stress-tolerant, market-preferred, and nutrient-dense sorghum varieties is a promising strategy for adaptation. Key technologies for sorghum improvement include mass selection, single seed descent, pure line selection, and marker-assisted selection, enhanced by backcrossing and molecular marker genotyping. Recent advancements such as machine learning algorithms, gene editing, genomic selection, and high-throughput phenotyping tools have improved the precision and speed of crop variety development. Additionally, enhancing genetic diversity to incorporate traits for heat and drought resilience into sorghum breeding pools is essential for future adaptability.",CGIAR,Sorghum,Nigeria,llm_grounded,https://hdl.handle.net/10568/169953,CC-BY-4.0
22,Adapting Sorghum Cultivation to Climate Change,"Sorghum and millet are vital for food security and economic resilience in semi-arid regions, but climate change poses significant challenges to their productivity. To address these challenges, various agronomic adaptation strategies have been introduced. These include conservation tillage, adjusted planting schedules, drought-tolerant crop varieties, and efficient irrigation methods. While many studies have shown the effectiveness of these strategies in reducing climate-related yield losses in staple cereals like maize, rice, and wheat, there is limited research on their benefits for semi-arid crops such as sorghum and millet. This systematic review aims to quantify and synthesize the effects of these adaptation practices on sorghum yields under changing climatic conditions. The insights gained from this synthesis will help identify the most suitable practices for different regions and crop types, ultimately supporting sustainable agricultural management, enhancing future food security, and promoting economic development.",CGIAR,Sorghum,Nigeria,llm_grounded,https://hdl.handle.net/10568/174520,CC-BY-4.0
23,Drought Tolerance in Sorghum Landraces,"Water is crucial for plant growth, and drought significantly impacts crop yields. Sorghum, known for its drought tolerance, was evaluated in a study involving 239 global landraces under simulated drought conditions using polyethylene glycol (PEG) in 2020 and 2024. The study measured drought tolerance through the seedling tolerance coefficient (STC). Results indicated that while more accessions produced more roots under 10% PEG, at 20% PEG, longer roots were more prevalent, showcasing adaptability to drought stress. However, shoot growth was adversely affected across all accessions in both years. A genome-wide association study (GWAS) identified 22 loci related to growth and STC traits, with 19 linked to STC of shoot weight. Notably, 11 loci were found to overlap with previously identified drought-related quantitative trait loci (QTLs). Additionally, 19 candidate genes were identified, with five showing specific expression in roots, highlighting their potential role in enhancing drought tolerance in sorghum.",CGIAR,Sorghum,Ethiopia,llm_grounded,https://hdl.handle.net/10568/179232,CC-BY-4.0
24,Enhancing Drought Tolerance in Sorghum,"Sorghum (Sorghum bicolor) serves as a vital food staple for millions in Sub-Saharan Africa and Asia, particularly in arid and semi-arid regions. While sorghum is known for its drought tolerance, severe drought stress can lead to significant crop loss and reduced productivity. To address this challenge, the development of high-yielding and drought-adapted genotypes is essential for sustainable sorghum production. A study evaluated 225 African sorghum genotypes under various drought stress conditions, including non-stressed, pre-anthesis drought stress, and post-anthesis drought stress. The analysis identified genotypes such as G09 and G109 as best suited for non-stressed environments, while G114 and G56 performed well under both stressed and non-stressed conditions. Additionally, G72 and G75 excelled specifically in pre-anthesis drought stress. This research highlights the importance of selecting and breeding drought-adapted sorghum genotypes to enhance resilience and ensure food security in drought-prone areas.",CGIAR,Sorghum,Mali,llm_grounded,https://hdl.handle.net/10568/132652,CC-BY-4.0
25,Enhancing Drought Tolerance in Sorghum,"Sorghum is a vital cereal crop known for its resilience in arid and semiarid environments. However, drought stress poses a significant challenge to its productivity, necessitating the enhancement of drought tolerance traits. One important trait is transpiration efficiency (TE), which indicates a plant's ability to utilize water efficiently. A study involving 182 Ethiopian sorghum accessions revealed substantial genetic variation in TE and related traits, with Durra races showing the highest TE levels. Intermediate races exhibited moderate TE, while several other races demonstrated the lowest efficiency. Strong correlations were established between TE and traits such as total shoot fresh weight, total shoot dry weight, and leaf number. Principal component analysis highlighted key traits influencing TE, while cluster analysis categorized accessions into four distinct groups, with the highest TE found in Cluster IV. These findings underscore the potential of TE in breeding water-efficient sorghum varieties, providing valuable genetic resources for improving drought tolerance in this essential crop.",CGIAR,Sorghum,Ethiopia,llm_grounded,https://hdl.handle.net/10568/176908,CC-BY-4.0
26,Improving Sorghum Germination through Hydro-Priming in Mali,"Agriculture in Mali is highly vulnerable to climate change, particularly due to its reliance on rainfall and low adaptive capacity. Early-season droughts can severely limit crop germination and growth, affecting yields in rain-fed agriculture. A promising technique to enhance the germination and establishment of sorghum, a staple crop, is hydro-priming. This method involves soaking seeds in various water sources, such as well and river water, for different durations. Research conducted in 2014 and 2015 demonstrated that hydro-priming significantly improved several germination metrics, including final germination percentage and seedling development, with well and river water yielding the highest germination rates at 85%. Hydro-priming not only enhances germination rate and uniformity but also contributes to better seedling vigor. Implementing hydro-priming in crop fields could be an effective strategy for managing the impacts of early-season drought on sorghum production in Mali.",CGIAR,Sorghum,Sudan,llm_grounded,https://hdl.handle.net/10568/113135,CC-BY-4.0
27,Opportunities and Constraints in Sorghum Production in Nigeria,"Sorghum (Sorghum bicolor [L.] Moench) plays a vital role in food security and industrial demands in sub-Saharan Africa, particularly in Nigeria. Despite its importance, the production and productivity of sorghum in Nigeria remain underdeveloped. A participatory rural appraisal (PRA) study involving 250 farmers across three sorghum-growing zones in northern Nigeria highlighted key socio-economic factors. Most sorghum farmers are male (80%), predominantly aged 21-45 years (75.7%), with a household size of fewer than five members (52.3%). The most commonly cultivated varieties are low-yielding landraces such as Kaura (37.4%) and Fara-fara (29.3%), favored for their grain quality. Farmers prioritize traits like high yield, drought tolerance, and Striga resistance. To enhance sorghum production and economic benefits, the study recommends the development of integrated sorghum technologies that align with farmers' preferences, addressing both current opportunities and constraints in the sector.",CGIAR,Sorghum,Sudan,llm_grounded,https://hdl.handle.net/10568/128749,CC-BY-4.0
28,How Angular Leaf Spot spreads in Common bean,"Angular Leaf Spot of common bean, caused by fungus (Pseudocercospora griseola). How it spreads: Seed-borne and residue-borne, spread by wind and rain; favoured by alternating wet and dry spells.",IITA,Common bean,Kenya,synthetic,,synthetic (CC0)
29,Symptoms of Angular Leaf Spot in Common bean,"Angular Leaf Spot of common bean, caused by fungus (Pseudocercospora griseola). Symptoms to look for: Angular grey-brown spots bounded by the leaf veins, premature leaf drop and spotting on pods that lowers yield and seed quality.",CGIAR,Common bean,Kenya,synthetic,,synthetic (CC0)
30,Managing Angular Leaf Spot in Common bean (Guinea savanna),"Angular Leaf Spot of common bean, caused by fungus (Pseudocercospora griseola). Managing an outbreak in the Guinea savanna, with one long rainy season and moderately fertile soils: Use resistant varieties and clean seed, rotate, and apply fungicide where pressure is high. In the Guinea savanna, time operations to the single rains, top-dress at the onset of steady rainfall, and use the long season for a full-duration variety.",ICRISAT,Common bean,Ethiopia,synthetic,,synthetic (CC0)
31,Preventing Angular Leaf Spot in Common bean (Guinea savanna),"Angular Leaf Spot of common bean, caused by fungus (Pseudocercospora griseola). Preventing it in the Guinea savanna, with one long rainy season and moderately fertile soils: Rotate away from beans, bury residue, and start with certified seed. In the Guinea savanna, time operations to the single rains, top-dress at the onset of steady rainfall, and use the long season for a full-duration variety.",Plantwise,Common bean,Rwanda,synthetic,,synthetic (CC0)
32,Managing Angular Leaf Spot in Common bean (Highlands),"Angular Leaf Spot of common bean, caused by fungus (Pseudocercospora griseola). Managing an outbreak in the cool highlands, where heavy dew and mild temperatures favour foliar fungal diseases: Use resistant varieties and clean seed, rotate, and apply fungicide where pressure is high. In the highlands, the long dewy nights drive foliar disease, so prioritise resistant varieties, wider spacing for airflow, and early scouting.",ICRISAT,Common bean,Uganda,synthetic,,synthetic (CC0)
33,Preventing Angular Leaf Spot in Common bean (Highlands),"Angular Leaf Spot of common bean, caused by fungus (Pseudocercospora griseola). Preventing it in the cool highlands, where heavy dew and mild temperatures favour foliar fungal diseases: Rotate away from beans, bury residue, and start with certified seed. In the highlands, the long dewy nights drive foliar disease, so prioritise resistant varieties, wider spacing for airflow, and early scouting.",Plantwise,Common bean,Uganda,synthetic,,synthetic (CC0)
34,How Bacterial Leaf Blight spreads in Rice,"Bacterial Leaf Blight of rice, caused by bacterium (Xanthomonas oryzae pv. oryzae). How it spreads: Enters through wounds and water; spread by irrigation water, rain and wind, worst with high nitrogen and flooding.",IITA,Rice,Tanzania,synthetic,,synthetic (CC0)
35,Symptoms of Bacterial Leaf Blight in Rice,"Bacterial Leaf Blight of rice, caused by bacterium (Xanthomonas oryzae pv. oryzae). Symptoms to look for: Water-soaked stripes from the leaf tips and margins that turn yellow then straw-coloured and dry; seedlings can wilt completely (kresek).",AGRA,Rice,Nigeria,synthetic,,synthetic (CC0)
36,Managing Bacterial Leaf Blight in Rice (Guinea savanna),"Bacterial Leaf Blight of rice, caused by bacterium (Xanthomonas oryzae pv. oryzae). Managing an outbreak in the Guinea savanna, with one long rainy season and moderately fertile soils: Plant resistant varieties, balance nitrogen, drain fields periodically, and use clean seed. In the Guinea savanna, time operations to the single rains, top-dress at the onset of steady rainfall, and use the long season for a full-duration variety.",CGIAR,Rice,Senegal,synthetic,,synthetic (CC0)
37,Preventing Bacterial Leaf Blight in Rice (Guinea savanna),"Bacterial Leaf Blight of rice, caused by bacterium (Xanthomonas oryzae pv. oryzae). Preventing it in the Guinea savanna, with one long rainy season and moderately fertile soils: Use resistant varieties and certified seed, and avoid excessive nitrogen and standing water. In the Guinea savanna, time operations to the single rains, top-dress at the onset of steady rainfall, and use the long season for a full-duration variety.",Plantwise,Rice,Madagascar,synthetic,,synthetic (CC0)
38,Managing Bacterial Leaf Blight in Rice (Humid forest),"Bacterial Leaf Blight of rice, caused by bacterium (Xanthomonas oryzae pv. oryzae). Managing an outbreak in the humid forest zone, where heavy rainfall leaches and acidifies soils and fungal pressure is high: Plant resistant varieties, balance nitrogen, drain fields periodically, and use clean seed. In the humid forest, correct soil acidity with lime, watch for rapid fungal spread under the canopy, and improve drainage on the heavy leached soils.",Plantwise,Rice,Senegal,synthetic,,synthetic (CC0)
39,Preventing Bacterial Leaf Blight in Rice (Humid forest),"Bacterial Leaf Blight of rice, caused by bacterium (Xanthomonas oryzae pv. oryzae). Preventing it in the humid forest zone, where heavy rainfall leaches and acidifies soils and fungal pressure is high: Use resistant varieties and certified seed, and avoid excessive nitrogen and standing water. In the humid forest, correct soil acidity with lime, watch for rapid fungal spread under the canopy, and improve drainage on the heavy leached soils.",FAO,Rice,Mali,synthetic,,synthetic (CC0)
40,Managing Bacterial Leaf Blight in Rice (Irrigated lowland),"Bacterial Leaf Blight of rice, caused by bacterium (Xanthomonas oryzae pv. oryzae). Managing an outbreak in irrigated lowlands, where standing water and continuous cropping raise disease and salinity risk: Plant resistant varieties, balance nitrogen, drain fields periodically, and use clean seed. Under irrigation, manage water carefully: intermittent draining cuts disease and salinity, and avoid the excess nitrogen that standing water encourages.",National Extension Service,Rice,Mali,synthetic,,synthetic (CC0)
41,Preventing Bacterial Leaf Blight in Rice (Irrigated lowland),"Bacterial Leaf Blight of rice, caused by bacterium (Xanthomonas oryzae pv. oryzae). Preventing it in irrigated lowlands, where standing water and continuous cropping raise disease and salinity risk: Use resistant varieties and certified seed, and avoid excessive nitrogen and standing water. Under irrigation, manage water carefully: intermittent draining cuts disease and salinity, and avoid the excess nitrogen that standing water encourages.",AGRA,Rice,Mali,synthetic,,synthetic (CC0)
42,Management of Banana Xanthomonas Wilt,"Banana is a crucial staple food for over 100 million Africans, yet it faces significant productivity challenges due to various pests and diseases. One of the most severe threats is Banana Xanthomonas wilt, caused by the bacterium Xanthomonas campestris pv. musacearum, which can completely devastate banana plantations. Additionally, nematodes can lead to losses of up to 50% and heighten the crop's vulnerability to other pests and diseases. To combat these issues, the development of improved banana varieties is essential. Traditional breeding methods are hindered by the sterile nature of bananas and the lack of resistance in Musa germplasm, making progress slow or unfeasible. However, advancements in genetic engineering are showing promise. Transgenic bananas that express sweet pepper Hrap and Pflp genes have exhibited complete resistance to X. campestris pv. musacearum in field trials. Similarly, transgenic plantains with cysteine proteinase inhibitors and synthetic peptides have shown improved resistance to nematodes. These innovations represent a significant step towards enhancing agricultural resilience and food security in Africa.",CGIAR,(general),Tanzania,llm_grounded,https://hdl.handle.net/10568/83062,CC-BY-4.0
43,How Bean Anthracnose spreads in Common bean,"Bean Anthracnose of common bean, caused by fungus (Colletotrichum lindemuthianum). How it spreads: Seed-borne and spread by rain splash; cool wet weather drives outbreaks.",IITA,Common bean,Kenya,synthetic,,synthetic (CC0)
44,Symptoms of Bean Anthracnose in Common bean,"Bean Anthracnose of common bean, caused by fungus (Colletotrichum lindemuthianum). Symptoms to look for: Dark sunken cankers on pods and stems and angular brick-red to black lesions on the leaf veins beneath; seed becomes discoloured.",Plantwise,Common bean,Kenya,synthetic,,synthetic (CC0)
45,Managing Bean Anthracnose in Common bean (Guinea savanna),"Bean Anthracnose of common bean, caused by fungus (Colletotrichum lindemuthianum). Managing an outbreak in the Guinea savanna, with one long rainy season and moderately fertile soils: Plant certified disease-free seed, use resistant varieties, and apply fungicide in wet seasons. In the Guinea savanna, time operations to the single rains, top-dress at the onset of steady rainfall, and use the long season for a full-duration variety.",ICRISAT,Common bean,Uganda,synthetic,,synthetic (CC0)
46,Preventing Bean Anthracnose in Common bean (Guinea savanna),"Bean Anthracnose of common bean, caused by fungus (Colletotrichum lindemuthianum). Preventing it in the Guinea savanna, with one long rainy season and moderately fertile soils: Use clean certified seed, rotate, and avoid working in the crop when foliage is wet. In the Guinea savanna, time operations to the single rains, top-dress at the onset of steady rainfall, and use the long season for a full-duration variety.",FAO,Common bean,Tanzania,synthetic,,synthetic (CC0)
47,Managing Bean Anthracnose in Common bean (Highlands),"Bean Anthracnose of common bean, caused by fungus (Colletotrichum lindemuthianum). Managing an outbreak in the cool highlands, where heavy dew and mild temperatures favour foliar fungal diseases: Plant certified disease-free seed, use resistant varieties, and apply fungicide in wet seasons. In the highlands, the long dewy nights drive foliar disease, so prioritise resistant varieties, wider spacing for airflow, and early scouting.",National Extension Service,Common bean,Ethiopia,synthetic,,synthetic (CC0)
48,Preventing Bean Anthracnose in Common bean (Highlands),"Bean Anthracnose of common bean, caused by fungus (Colletotrichum lindemuthianum). Preventing it in the cool highlands, where heavy dew and mild temperatures favour foliar fungal diseases: Use clean certified seed, rotate, and avoid working in the crop when foliage is wet. In the highlands, the long dewy nights drive foliar disease, so prioritise resistant varieties, wider spacing for airflow, and early scouting.",Plantwise,Common bean,Uganda,synthetic,,synthetic (CC0)
49,How Black Pod Disease spreads in Cocoa,"Black Pod Disease of cocoa, caused by oomycete (Phytophthora spp.). How it spreads: Spores spread by rain splash, ants and contact in wet humid weather; infected pods are the main reservoir.",CGIAR,Cocoa,Nigeria,synthetic,,synthetic (CC0)
50,Symptoms of Black Pod Disease in Cocoa,"Black Pod Disease of cocoa, caused by oomycete (Phytophthora spp.). Symptoms to look for: Hard dark-brown to black spreading lesions on pods that rot the beans inside; cushions and stems can also be cankered.",National Extension Service,Cocoa,Côte d'Ivoire,synthetic,,synthetic (CC0)
51,Managing Black Pod Disease in Cocoa (Humid forest),"Black Pod Disease of cocoa, caused by oomycete (Phytophthora spp.). Managing an outbreak in the humid forest zone, where heavy rainfall leaches and acidifies soils and fungal pressure is high: Remove and bury infected pods weekly, prune and weed for airflow, and apply copper fungicide in the wet season. In the humid forest, correct soil acidity with lime, watch for rapid fungal spread under the canopy, and improve drainage on the heavy leached soils.",FAO,Cocoa,Nigeria,synthetic,,synthetic (CC0)
52,Preventing Black Pod Disease in Cocoa (Humid forest),"Black Pod Disease of cocoa, caused by oomycete (Phytophthora spp.). Preventing it in the humid forest zone, where heavy rainfall leaches and acidifies soils and fungal pressure is high: Sanitise diseased pods regularly, prune for ventilation, and maintain shade and drainage to cut humidity. In the humid forest, correct soil acidity with lime, watch for rapid fungal spread under the canopy, and improve drainage on the heavy leached soils.",CGIAR,Cocoa,Côte d'Ivoire,synthetic,,synthetic (CC0)
53,How Black Sigatoka spreads in Plantain,"Black Sigatoka of plantain, caused by fungus (Pseudocercospora fijiensis). How it spreads: Spores spread by wind and rain; dense, humid, poorly drained stands are worst affected.",IITA,Plantain,DR Congo,synthetic,,synthetic (CC0)
54,Symptoms of Black Sigatoka in Plantain,"Black Sigatoka of plantain, caused by fungus (Pseudocercospora fijiensis). Symptoms to look for: Reddish-brown streaks on leaves that enlarge into black spots with yellow haloes, killing the foliage early and causing premature, uneven fruit ripening.",IITA,Plantain,Cameroon,synthetic,,synthetic (CC0)
55,Managing Black Sigatoka in Plantain (Highlands),"Black Sigatoka of plantain, caused by fungus (Pseudocercospora fijiensis). Managing an outbreak in the cool highlands, where heavy dew and mild temperatures favour foliar fungal diseases: Remove and destroy affected leaves, improve drainage and spacing, and apply fungicide on commercial stands. In the highlands, the long dewy nights drive foliar disease, so prioritise resistant varieties, wider spacing for airflow, and early scouting.",AGRA,Plantain,Cameroon,synthetic,,synthetic (CC0)
56,Preventing Black Sigatoka in Plantain (Highlands),"Black Sigatoka of plantain, caused by fungus (Pseudocercospora fijiensis). Preventing it in the cool highlands, where heavy dew and mild temperatures favour foliar fungal diseases: De-leaf infected material, space and drain plantations, and use tolerant cultivars. In the highlands, the long dewy nights drive foliar disease, so prioritise resistant varieties, wider spacing for airflow, and early scouting.",CGIAR,Plantain,Uganda,synthetic,,synthetic (CC0)
57,Managing Black Sigatoka in Plantain (Humid forest),"Black Sigatoka of plantain, caused by fungus (Pseudocercospora fijiensis). Managing an outbreak in the humid forest zone, where heavy rainfall leaches and acidifies soils and fungal pressure is high: Remove and destroy affected leaves, improve drainage and spacing, and apply fungicide on commercial stands. In the humid forest, correct soil acidity with lime, watch for rapid fungal spread under the canopy, and improve drainage on the heavy leached soils.",FAO,Plantain,Cameroon,synthetic,,synthetic (CC0)
58,Preventing Black Sigatoka in Plantain (Humid forest),"Black Sigatoka of plantain, caused by fungus (Pseudocercospora fijiensis). Preventing it in the humid forest zone, where heavy rainfall leaches and acidifies soils and fungal pressure is high: De-leaf infected material, space and drain plantations, and use tolerant cultivars. In the humid forest, correct soil acidity with lime, watch for rapid fungal spread under the canopy, and improve drainage on the heavy leached soils.",CGIAR,Plantain,Uganda,synthetic,,synthetic (CC0)
59,Management Strategies for Rice Blast in Nepal,"Blast, caused by Pyricularia oryzae, is a significant threat to rice production in Nepal, leading to yield losses of 10-30%. The Himalayan foothills are hotspots for the diversity of the blast fungus, resulting in the emergence of new pathotypes that can overcome resistance in popular rice varieties. In 2022, a neck blast epidemic affected 5,000 hectares of the Hardinath-1 variety, causing nearly total yield loss. Changing climate conditions, particularly during the panicle initiation stage, have made the environment more conducive to neck blast development. To address this issue, integrated management strategies are essential. These include developing durable blast-resistant and climate-resilient rice varieties through molecular markers and genomic tools, forecasting disease emergence, and utilizing modern fungicides and biological control methods. Additionally, adjusting planting times, managing weeds, and optimizing agronomic practices are crucial for effective management of rice blast in Nepal.",CGIAR,Rice,Senegal,llm_grounded,https://hdl.handle.net/10568/176617,CC-BY-4.0
60,How Cassava Bacterial Blight spreads in Cassava,"Cassava Bacterial Blight of cassava, caused by bacterium (Xanthomonas axonopodis pv. manihotis). How it spreads: Spread by rain splash, infected cuttings and tools; worst in the wet season.",CGIAR,Cassava,Uganda,synthetic,,synthetic (CC0)
61,Symptoms of Cassava Bacterial Blight in Cassava,"Cassava Bacterial Blight of cassava, caused by bacterium (Xanthomonas axonopodis pv. manihotis). Symptoms to look for: Angular water-soaked leaf spots, blighting and wilting of leaves, gum exudate on stems and die-back of the growing tips.",Plantwise,Cassava,DR Congo,synthetic,,synthetic (CC0)
62,Managing Cassava Bacterial Blight in Cassava (Guinea savanna),"Cassava Bacterial Blight of cassava, caused by bacterium (Xanthomonas axonopodis pv. manihotis). Managing an outbreak in the Guinea savanna, with one long rainy season and moderately fertile soils: Use clean resistant cuttings, prune and destroy infected material, and disinfect cutting tools. In the Guinea savanna, time operations to the single rains, top-dress at the onset of steady rainfall, and use the long season for a full-duration variety.",IITA,Cassava,Nigeria,synthetic,,synthetic (CC0)
63,Preventing Cassava Bacterial Blight in Cassava (Guinea savanna),"Cassava Bacterial Blight of cassava, caused by bacterium (Xanthomonas axonopodis pv. manihotis). Preventing it in the Guinea savanna, with one long rainy season and moderately fertile soils: Plant healthy cuttings, rotate, and use a fallow break in heavily infected fields. In the Guinea savanna, time operations to the single rains, top-dress at the onset of steady rainfall, and use the long season for a full-duration variety.",CGIAR,Cassava,Ghana,synthetic,,synthetic (CC0)
